TemplateType=fptcustomcustom	Version=2019.0127	TemplateSignature=T1VURVJXRUFSLEJMQVpFUg==	上3行は Amazon.com 記入用です。上3行は変更または削除しないでください。.																							画像								バリエーション				商品基本情報											商品検索情報																推奨ブラウズノード別の情報	出品情報																							
feed_product_type	出品者SKU	ブランド名	商品名	商品コード(JANコード等)	商品コードのタイプ	表地素材	推奨ブラウズノード	サイズ	カラー	カラーマップ	対象年齢・性別	サイズマップ	在庫数	商品の販売価格	商品メイン画像URL	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	親子指定	親商品のSKU(商品管理番号)	親子関係のタイプ	バリエーションテーマ	アップデート・削除	メーカー型番	商品説明文	ヒールのタイプ	留め具のタイプ	モデル年(発売年・発表年)	inner_material_type1	inner_material_type2	inner_material_type3	inner_material_type4	inner_material_type5	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	検索キーワード	ライフスタイル	ライフスタイル	スタイルキーワード	シーズン	プラチナキーワード	プラチナキーワード	プラチナキーワード	プラチナキーワード	プラチナキーワード	コート・ワンピース・チュニック着丈	material_type	出荷作業日数	商品のコンディション	商品のコンディション説明	ポイント	セール時ポイント	商品の公開日	予約商品の販売開始日	メーカー希望価格	使用しない支払い方法	配送日時指定SKUリスト	セール価格	セール開始日	セール終了日	商品の入荷予定日	最大注文個数	ギフトメッセージ	ギフト包装	メーカー製造中止	配送パターン	販売形態(並行輸入品)	item_package_quantity	廃盤日	販売開始日	商品タックスコード
feed_product_type	item_sku	brand_name	item_name	external_product_id	external_product_id_type	outer_material_type	recommended_browse_nodes	size_name	color_name	color_map	department_name	size_map	quantity	standard_price	main_image_url	material_composition1	material_composition2	material_composition3	material_composition4	material_composition5	material_composition6	material_composition7	material_composition8	material_composition9	material_composition10	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	other_image_url7	other_image_url8	parent_child	parent_sku	relationship_type	variation_theme	update_delete	part_number	product_description	heel_type	closure_type	model_year	inner_material_type1	inner_material_type2	inner_material_type3	inner_material_type4	inner_material_type5	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	generic_keywords	lifestyle1	lifestyle2	style_keywords	seasons	platinum_keywords1	platinum_keywords2	platinum_keywords3	platinum_keywords4	platinum_keywords5	specific_uses_keywords	material_type	fulfillment_latency	condition_type	condition_note	standard_price_points	sale_price_points	product_site_launch_date	merchant_release_date	list_price	optional_payment_type_exclusion	delivery_schedule_group_id	sale_price	sale_from_date	sale_end_date	restock_date	max_order_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	distribution_designation	item_package_quantity	offering_end_date	offering_start_date	product_tax_code
outerwear	PAT010V-FLOPK-S	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Flora Pink S	 	UPC	100% polyester	2131480051 	S	Flora Pink	Flora Pink	レディーズ	S	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-FLOPK-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Flora Pink M	191743668470 	UPC	100% polyester	2131480051 	M	Flora Pink	Flora Pink	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-FLOPK-L	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Flora Pink L	191743668487 	UPC	100% polyester	2131480051 	L	Flora Pink	Flora Pink	レディーズ	L	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-FLOPK-XL	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Flora Pink XL	191743668494 	UPC	100% polyester	2131480051 	XL	Flora Pink	Flora Pink	レディーズ	XL	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-LTVIBL-XXS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Light Violet Blue XXS	191743581656 	UPC	100% polyester	2131480051 	XXS	Light Violet Blue	Light Violet Blue	レディーズ	XXS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-LTVIBL-XS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Light Violet Blue XS	191743581687 	UPC	100% polyester	2131480051 	XS	Light Violet Blue	Light Violet Blue	レディーズ	XS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-LTVIBL-S	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Light Violet Blue S	 	UPC	100% polyester	2131480051 	S	Light Violet Blue	Light Violet Blue	レディーズ	S	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-LTVIBL-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Light Violet Blue M	191743581731 	UPC	100% polyester	2131480051 	M	Light Violet Blue	Light Violet Blue	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-LTVIBL-L	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Light Violet Blue L	191743581755 	UPC	100% polyester	2131480051 	L	Light Violet Blue	Light Violet Blue	レディーズ	L	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-LTVIBL-XL	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Light Violet Blue XL	191743581779 	UPC	100% polyester	2131480051 	XL	Light Violet Blue	Light Violet Blue	レディーズ	XL	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/FLOPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-MATGN-XS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Matcha Green XS	191743583025 	UPC	100% polyester	2131480051 	XS	Matcha Green	Matcha Green	レディーズ	XS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/MATGN.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-MATGN-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Matcha Green M	191743583056 	UPC	100% polyester	2131480051 	M	Matcha Green	Matcha Green	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/MATGN.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-TASTL-XXS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Tasmanian Teal XXS	191743583780 	UPC	100% polyester	2131480051 	XXS	Tasmanian Teal	Tasmanian Teal	レディーズ	XXS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/TASTL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-TASTL-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Tasmanian Teal M	191743583827 	UPC	100% polyester	2131480051 	M	Tasmanian Teal	Tasmanian Teal	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/TASTL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-TASTL-L	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Tasmanian Teal L	191743583841 	UPC	100% polyester	2131480051 	L	Tasmanian Teal	Tasmanian Teal	レディーズ	L	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/TASTL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-TASTL-XL	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Tasmanian Teal XL	191743583865 	UPC	100% polyester	2131480051 	XL	Tasmanian Teal	Tasmanian Teal	レディーズ	XL	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/TASTL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-CLANV-XXS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Classic Navy XXS	888336848394 	UPC	100% polyester	2131480051 	XXS	Classic Navy	Classic Navy	レディーズ	XXS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/CLANV.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-CLANV-XS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Classic Navy XS	888336466345 	UPC	100% polyester	2131480051 	XS	Classic Navy	Classic Navy	レディーズ	XS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/CLANV.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-CLANV-S	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Classic Navy S	 	UPC	100% polyester	2131480051 	S	Classic Navy	Classic Navy	レディーズ	S	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/CLANV.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-CLANV-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Classic Navy M	888336466369 	UPC	100% polyester	2131480051 	M	Classic Navy	Classic Navy	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/CLANV.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-CLANV-L	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Classic Navy L	888336466376 	UPC	100% polyester	2131480051 	L	Classic Navy	Classic Navy	レディーズ	L	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/CLANV.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-CLANV-XL	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Classic Navy XL	888336466383 	UPC	100% polyester	2131480051 	XL	Classic Navy	Classic Navy	レディーズ	XL	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/CLANV.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-BK-XXS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Black XXS	888336848363 	UPC	100% polyester	2131480051 	XXS	Black	Black	レディーズ	XXS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/BK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-BK-XS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Black XS	888336466147 	UPC	100% polyester	2131480051 	XS	Black	Black	レディーズ	XS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/BK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-BK-S	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Black S	 	UPC	100% polyester	2131480051 	S	Black	Black	レディーズ	S	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/BK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-BK-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Black M	888336466161 	UPC	100% polyester	2131480051 	M	Black	Black	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/BK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-BK-L	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Black L	888336466178 	UPC	100% polyester	2131480051 	L	Black	Black	レディーズ	L	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/BK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-BK-XL	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Black XL	888336466185 	UPC	100% polyester	2131480051 	XL	Black	Black	レディーズ	XL	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/BK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-KILPK-XXS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Kiln Pink XXS	191743245381 	UPC	100% polyester	2131480051 	XXS	Kiln Pink	Kiln Pink	レディーズ	XXS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/KILPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-KILPK-XS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Kiln Pink XS	191743245398 	UPC	100% polyester	2131480051 	XS	Kiln Pink	Kiln Pink	レディーズ	XS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/KILPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-KILPK-S	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Kiln Pink S	 	UPC	100% polyester	2131480051 	S	Kiln Pink	Kiln Pink	レディーズ	S	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/KILPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-KILPK-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Kiln Pink M	191743245411 	UPC	100% polyester	2131480051 	M	Kiln Pink	Kiln Pink	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/KILPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-KILPK-L	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Kiln Pink L	191743245428 	UPC	100% polyester	2131480051 	L	Kiln Pink	Kiln Pink	レディーズ	L	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/KILPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-KILPK-XL	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Kiln Pink XL	191743245435 	UPC	100% polyester	2131480051 	XL	Kiln Pink	Kiln Pink	レディーズ	XL	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/KILPK.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-PEL-XXS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Pelican XXS	190696226713 	UPC	100% polyester	2131480051 	XXS	Pelican	Pelican	レディーズ	XXS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-PEL-XS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Pelican XS	190696226720 	UPC	100% polyester	2131480051 	XS	Pelican	Pelican	レディーズ	XS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-PEL-S	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Pelican S	 	UPC	100% polyester	2131480051 	S	Pelican	Pelican	レディーズ	S	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-PEL-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Pelican M	190696226744 	UPC	100% polyester	2131480051 	M	Pelican	Pelican	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-PEL-L	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Pelican L	190696226751 	UPC	100% polyester	2131480051 	L	Pelican	Pelican	レディーズ	L	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-PEL-XL	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Pelican XL	190696226768 	UPC	100% polyester	2131480051 	XL	Pelican	Pelican	レディーズ	XL	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-SHABL-XXS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Shadow Blue XXS	191743335952 	UPC	100% polyester	2131480051 	XXS	Shadow Blue	Shadow Blue	レディーズ	XXS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-SHABL-XS	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Shadow Blue XS	191743335969 	UPC	100% polyester	2131480051 	XS	Shadow Blue	Shadow Blue	レディーズ	XS	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-SHABL-S	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Shadow Blue S	 	UPC	100% polyester	2131480051 	S	Shadow Blue	Shadow Blue	レディーズ	S	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-SHABL-M	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Shadow Blue M	191743335983 	UPC	100% polyester	2131480051 	M	Shadow Blue	Shadow Blue	レディーズ	M	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
outerwear	PAT010V-SHABL-L	Patagonia	Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Shadow Blue L	191743335990 	UPC	100% polyester	2131480051 	L	Shadow Blue	Shadow Blue	レディーズ	L	1 	19058 	http://kai8217.xsrv.jp/backcountry_img/PEL.jpg																			child	PAT010V	Variation	SizeColor	Update		 																										14 																		テスト	JP Parallel Import				
